Steven Souza Jr.,Steven Souza,EXCLUSIONS
Jackie Bradley Jr.,Jackie Bradley,EXCLUSIONS
Hyun Soo Kim,Hyun-Soo Kim,EXCLUSIONS
Gregory Bird,Greg Bird,EXCLUSIONS
Christin Stewart,EXCLUSIONS,Chris Stewart
Phillip Ervin,Phil Ervin,EXCLUSIONS
Matt Duffy,Matthew Duffy,EXCLUSIONS
Joey Wendle,Joe Wendle,EXCLUSIONS
Edward Easley,Ed Easley,EXCLUSIONS
Melvin Upton Jr.,Melvin Upton,EXCLUSIONS
Reynaldo Navarro,Rey Navarro,EXCLUSIONS
Ty Moore,Tyler Moore,EXCLUSIONS
Matt Reynolds,Matthew Reynolds,EXCLUSIONS
Rickie Weeks Jr.,Rickie Weeks,EXCLUSIONS
Kristopher Negron,Kris Negron,EXCLUSIONS
Max Muncy,Maxwell Muncy,EXCLUSIONS
Chris O'Dowd,Christopher O'Dowd,EXCLUSIONS
Chris Stewart,EXCLUSIONS,Christin Stewart
Pat Cantwell,Patrick Cantwell,EXCLUSIONS
Victor Rey,EXCLUSIONS,Victor Reyes
Jacob Mayers,EXCLUSIONS,Jacob May
Chris Shaw,Christopher Shaw,EXCLUSIONS
Adam Brett Walker,Adam Walker,EXCLUSIONS
Matt Dean,Matthew Dean,EXCLUSIONS
Eudor Garcia-Pacheco,Eudor Garcia,EXCLUSIONS
Jose Jose,EXCLUSIONS,Jose Fernandez,Jose Quintana,Jose De Leon,Jose Berrios,Jose Alvarez,Jose Ramirez,Jose Urena,Joseph Biagini,Jose Valdez,Jose Castillo,Jose Leclerc
Vince Velasquez,Vincent Velasquez,EXCLUSIONS
Joshua Smith,Josh Smith,EXCLUSIONS
Grayson Jones,EXCLUSIONS,Jon Gray
Francis Rodriguez,EXCLUSIONS,Francisco Rodriguez
Steve Geltz,Steven Geltz,EXCLUSIONS
Alex Claudio,Alexander Claudio,EXCLUSIONS
Alexander Wilson,Alex Wilson,EXCLUSIONS
Robbie Ross Jr.,Robbie Ross,EXCLUSIONS
Carl Edwards Jr.,Carl Edwards Jr,EXCLUSIONS
Sugar Marimon,Sugar Ray Marimon,EXCLUSIONS
Jose Contreras,EXCLUSIONS,Jose Jose
Jose De Leon,EXCLUSIONS,Jose Jose
Jose Quintana,EXCLUSIONS,Jose Jose
Jose Mijares,EXCLUSIONS,Jose Jose
Jose Alvarez,EXCLUSIONS,Jose Jose
Jose Urena,EXCLUSIONS,Jose Jose
Joseph O'Gara,EXCLUSIONS,Jose Jose
Jose Valverde,EXCLUSIONS,Jose Jose
Jose Almarante,EXCLUSIONS,Jose Jose
Jose Torres,EXCLUSIONS,Jose Jose
Jose Oyervides,EXCLUSIONS,Jose Jose
Jose Ramirez,EXCLUSIONS,Jose Jose
Jose Cisnero,EXCLUSIONS,Jose Jose
Jose Berrios,EXCLUSIONS,Jose Jose
Jose Flores,EXCLUSIONS,Jose Jose
Joseph Colon,EXCLUSIONS,Jose Jose
Joseph Biagini,EXCLUSIONS,Jose Jose
Jose Rosario,EXCLUSIONS,Jose Jose
Jose Dominguez,EXCLUSIONS,Jose Jose
Jose Valdez,EXCLUSIONS,Jose Jose
Jose Quijada,EXCLUSIONS,Jose Jose
Jose Veras,EXCLUSIONS,Jose Jose
Jose Casilla,EXCLUSIONS,Jose Jose
Joseph Donofrio,EXCLUSIONS,Jose Jose
Jose De La Torre,EXCLUSIONS,Jose Jose
Jose Leclerc,EXCLUSIONS,Jose Jose
Jonathan Joseph,EXCLUSIONS,Jose Jose
Joseph Pistorese,EXCLUSIONS,Jose Jose
Jose Velez,EXCLUSIONS,Jose Jose
Donnie Joseph,EXCLUSIONS,Jose Jose
Jose Reyes,EXCLUSIONS,Jose Jose
Jose Regalado,EXCLUSIONS,Jose Jose
Jose Taveras,EXCLUSIONS,Jose Jose
Jose Molina,EXCLUSIONS,Jose Jose
Jose Lopez,EXCLUSIONS,Jose Jose
Jose Morel,EXCLUSIONS,Jose Jose
Jose Monegro,EXCLUSIONS,Jose Jose
Jose Castillo,EXCLUSIONS,Jose Jose
Jose Samayoa,EXCLUSIONS,Jose Jose
Jose Hernandez,EXCLUSIONS,Jose Jose
Jose De Paula,EXCLUSIONS,Jose Jose
Jose Arias,EXCLUSIONS,Jose Jose
Jose Ortega,EXCLUSIONS,Jose Jose
Jose Pina,EXCLUSIONS,Jose Jose
Jose Adames,EXCLUSIONS,Jose Jose
Jose Marquez,EXCLUSIONS,Jose Jose
Jose Valdespina,EXCLUSIONS,Jose Jose
Jose Sanchez,EXCLUSIONS,Jose Jose
Jose Amezcua,EXCLUSIONS,Jose Jose
Jose Cobos,EXCLUSIONS,Jose Jose
Jose Paulino,EXCLUSIONS,Jose Jose
Jose Meraz,EXCLUSIONS,Jose Jose
Jose Rodriguez,EXCLUSIONS,Jose Jose
Jose Santos,EXCLUSIONS,Jose Jose
Joseph Maher,EXCLUSIONS,Jose Jose
Jose Nin,EXCLUSIONS,Jose Jose
Jose Diaz,EXCLUSIONS,Jose Jose
Jose Almonte,EXCLUSIONS,Jose Jose
Jose Bautista,EXCLUSIONS,Jose Jose
Joseph Palumbo,EXCLUSIONS,Jose Jose
Jose Marrujo,EXCLUSIONS,Jose Jose
Jose Mujica,EXCLUSIONS,Jose Jose
Joseph Michaud,EXCLUSIONS,Jose Jose
Jose Mesa,EXCLUSIONS,Jose Jose
Jose Alvarado,EXCLUSIONS,Jose Jose
Jose Lopez Cruz,EXCLUSIONS,Jose Jose
Jose Fernandez,EXCLUSIONS,Jose Jose
Jose Alonzo,EXCLUSIONS,Jose Jose
Jose Suarez,EXCLUSIONS,Jose Jose
Jose Geraldo,EXCLUSIONS,Jose Jose
Jose Martinez,EXCLUSIONS,Jose Jose
Jose Santiago,EXCLUSIONS,Jose Jose
Jose Valenzuela,EXCLUSIONS,Jose Jose
Jose Vasquez,EXCLUSIONS,Jose Jose
Jose Gonzalez,EXCLUSIONS,Jose Jose
Jose Fuentes,EXCLUSIONS,Jose Jose
Jose Salas,EXCLUSIONS,Jose Jose
Jose Zacarias,EXCLUSIONS,Jose Jose
Jose Medina,EXCLUSIONS,Jose Jose
Jose Zerpa,EXCLUSIONS,Jose Jose
